Workload,ReferenceString,Frames,Policy,Clock,ModifiedPages,Hit,Fault,Migration,FaultRate,EstimatedDelayMs
Textbook,123412512345,3,FIFO,4,AD,3,9,6,75,90
Textbook,123412512345,3,NUR_01_First,4,AD,3,9,6,75,90
Textbook,123412512345,3,NUR_10_First,4,AD,3,9,6,75,90
Textbook,123412512345,3,SecondChance,4,AD,2,10,7,83.33,100
Textbook,123412512345,3,WSClockLite,4,AD,2,10,7,83.33,100
Textbook,123412512345,4,FIFO,4,AD,2,10,6,83.33,100
Textbook,123412512345,4,NUR_01_First,4,AD,6,6,2,50,60
Textbook,123412512345,4,NUR_10_First,4,AD,6,6,2,50,60
Textbook,123412512345,4,SecondChance,4,AD,5,7,3,58.33,70
Textbook,123412512345,4,WSClockLite,4,AD,4,8,4,66.67,80
Textbook,123412512345,5,FIFO,4,AD,7,5,0,41.67,50
Textbook,123412512345,5,NUR_01_First,4,AD,7,5,0,41.67,50
Textbook,123412512345,5,NUR_10_First,4,AD,7,5,0,41.67,50
Textbook,123412512345,5,SecondChance,4,AD,7,5,0,41.67,50
Textbook,123412512345,5,WSClockLite,4,AD,7,5,0,41.67,50
NURPriority,ABCDABEFABGHABCD,3,FIFO,4,AD,0,16,13,100,160
NURPriority,ABCDABEFABGHABCD,3,NUR_01_First,4,AD,5,11,8,68.75,110
NURPriority,ABCDABEFABGHABCD,3,NUR_10_First,4,AD,4,12,9,75,120
NURPriority,ABCDABEFABGHABCD,3,SecondChance,4,AD,0,16,13,100,160
NURPriority,ABCDABEFABGHABCD,3,WSClockLite,4,AD,0,16,13,100,160
NURPriority,ABCDABEFABGHABCD,4,FIFO,4,AD,4,12,8,75,120
NURPriority,ABCDABEFABGHABCD,4,NUR_01_First,4,AD,6,10,6,62.5,100
NURPriority,ABCDABEFABGHABCD,4,NUR_10_First,4,AD,5,11,7,68.75,110
NURPriority,ABCDABEFABGHABCD,4,SecondChance,4,AD,6,10,6,62.5,100
NURPriority,ABCDABEFABGHABCD,4,WSClockLite,4,AD,5,11,7,68.75,110
NURPriority,ABCDABEFABGHABCD,5,FIFO,4,AD,4,12,7,75,120
NURPriority,ABCDABEFABGHABCD,5,NUR_01_First,4,AD,7,9,4,56.25,90
NURPriority,ABCDABEFABGHABCD,5,NUR_10_First,4,AD,7,9,4,56.25,90
NURPriority,ABCDABEFABGHABCD,5,SecondChance,4,AD,6,10,5,62.5,100
NURPriority,ABCDABEFABGHABCD,5,WSClockLite,4,AD,6,10,5,62.5,100
ClockSensitive,ABCDEABCDA,3,FIFO,4,AD,0,10,7,100,100
ClockSensitive,ABCDEABCDA,3,NUR_01_First,4,AD,2,8,5,80,80
ClockSensitive,ABCDEABCDA,3,NUR_10_First,4,AD,3,7,4,70,70
ClockSensitive,ABCDEABCDA,3,SecondChance,4,AD,0,10,7,100,100
ClockSensitive,ABCDEABCDA,3,WSClockLite,4,AD,0,10,7,100,100
ClockSensitive,ABCDEABCDA,4,FIFO,4,AD,1,9,5,90,90
ClockSensitive,ABCDEABCDA,4,NUR_01_First,4,AD,2,8,4,80,80
ClockSensitive,ABCDEABCDA,4,NUR_10_First,4,AD,3,7,3,70,70
ClockSensitive,ABCDEABCDA,4,SecondChance,4,AD,1,9,5,90,90
ClockSensitive,ABCDEABCDA,4,WSClockLite,4,AD,1,9,5,90,90
ClockSensitive,ABCDEABCDA,5,FIFO,4,AD,5,5,0,50,50
ClockSensitive,ABCDEABCDA,5,NUR_01_First,4,AD,5,5,0,50,50
ClockSensitive,ABCDEABCDA,5,NUR_10_First,4,AD,5,5,0,50,50
ClockSensitive,ABCDEABCDA,5,SecondChance,4,AD,5,5,0,50,50
ClockSensitive,ABCDEABCDA,5,WSClockLite,4,AD,5,5,0,50,50
FrequencyBias,AAAABCAAADEFAAA,3,FIFO,4,AD,8,7,4,46.67,70
FrequencyBias,AAAABCAAADEFAAA,3,NUR_01_First,4,AD,9,6,3,40,60
FrequencyBias,AAAABCAAADEFAAA,3,NUR_10_First,4,AD,9,6,3,40,60
FrequencyBias,AAAABCAAADEFAAA,3,SecondChance,4,AD,8,7,4,46.67,70
FrequencyBias,AAAABCAAADEFAAA,3,WSClockLite,4,AD,8,7,4,46.67,70
FrequencyBias,AAAABCAAADEFAAA,4,FIFO,4,AD,8,7,3,46.67,70
FrequencyBias,AAAABCAAADEFAAA,4,NUR_01_First,4,AD,9,6,2,40,60
FrequencyBias,AAAABCAAADEFAAA,4,NUR_10_First,4,AD,9,6,2,40,60
FrequencyBias,AAAABCAAADEFAAA,4,SecondChance,4,AD,9,6,2,40,60
FrequencyBias,AAAABCAAADEFAAA,4,WSClockLite,4,AD,9,6,2,40,60
FrequencyBias,AAAABCAAADEFAAA,5,FIFO,4,AD,8,7,2,46.67,70
FrequencyBias,AAAABCAAADEFAAA,5,NUR_01_First,4,AD,9,6,1,40,60
FrequencyBias,AAAABCAAADEFAAA,5,NUR_10_First,4,AD,9,6,1,40,60
FrequencyBias,AAAABCAAADEFAAA,5,SecondChance,4,AD,9,6,1,40,60
FrequencyBias,AAAABCAAADEFAAA,5,WSClockLite,4,AD,9,6,1,40,60
LocalityShift,ABCABCABCDEFDEFABC,3,FIFO,4,AD,9,9,6,50,90
LocalityShift,ABCABCABCDEFDEFABC,3,NUR_01_First,4,AD,7,11,8,61.11,110
LocalityShift,ABCABCABCDEFDEFABC,3,NUR_10_First,4,AD,8,10,7,55.56,100
